Region,Work_load,primary_key,Work_1989
,Mão-de-obra agrícola não familiar,,14
,Permanente,,6
,Eventual,,7
,Mão-de-obra não contratada pelo produtor,,1
111160418: Moreira,Mão-de-obra agrícola total,111160418: MoreiraMão-de-obra agrícola total,98
,Mão-de-obra agrícola familiar,,64
,Produtor,,28
,Cônjuge,,20
,Outros membros da família,,16
,Mão-de-obra agrícola não familiar,,34
,Permanente,,23
,Eventual,,10
,Mão-de-obra não contratada pelo produtor,,1
111160420: Pias,Mão-de-obra agrícola total,111160420: PiasMão-de-obra agrícola total,182
,Mão-de-obra agrícola familiar,,170
,Produtor,,86
,Cônjuge,,54
,Outros membros da família,,31
,Mão-de-obra agrícola não familiar,,12
,Permanente,,6
,Eventual,,5
,Mão-de-obra não contratada pelo produtor,,1
