primary_key,codes,Perm_crop,year,Nr
5578,111160923,Cereals,1999,31
5579,111160923,Cereals,2009,24
5580,111160923,Cereals,2019,13
5581,111160923,Dried pulses,1989,110
5582,111160923,Dried pulses,1999,12
5583,111160923,Dried pulses,2009,3
5584,111160923,Dried pulses,2019,
5585,111160923,Potatoes,1989,101
5586,111160923,Potatoes,1999,25
5587,111160923,Potatoes,2009,2
5588,111160923,Potatoes,2019,1
5589,111160923,Industrial crops,1989,
5590,111160923,Industrial crops,1999,
5591,111160923,Industrial crops,2009,
5592,111160923,Industrial crops,2019,
5593,111160923,Fresh vegetables,1989,27
5594,111160923,Fresh vegetables,1999,
5595,111160923,Fresh vegetables,2009,
5596,111160923,Fresh vegetables,2019,1
5597,111160923,Other temporary crops,1989,88
5598,111160923,Other temporary crops,1999,
5599,111160923,Other temporary crops,2009,
5600,111160923,Other temporary crops,2019,1
5601,111160941,Total,1989,371
5602,111160941,Total,1999,133
5603,111160941,Total,2009,75
5604,111160941,Total,2019,70
5605,111160941,Cereals,1989,301
5606,111160941,Cereals,1999,99
5607,111160941,Cereals,2009,62
5608,111160941,Cereals,2019,50
5609,111160941,Dried pulses,1989,277
5610,111160941,Dried pulses,1999,32
5611,111160941,Dried pulses,2009,25
5612,111160941,Dried pulses,2019,7
5613,111160941,Potatoes,1989,298
5614,111160941,Potatoes,1999,110
5615,111160941,Potatoes,2009,61
5616,111160941,Potatoes,2019,19
5617,111160941,Industrial crops,1989,
5618,111160941,Industrial crops,1999,
5619,111160941,Industrial crops,2009,
5620,111160941,Industrial crops,2019,1
5621,111160941,Fresh vegetables,1989,98
5622,111160941,Fresh vegetables,1999,4
5623,111160941,Fresh vegetables,2009,6
5624,111160941,Fresh vegetables,2019,12
5625,111160941,Other temporary crops,1989,234
5626,111160941,Other temporary crops,1999,61
5627,111160941,Other temporary crops,2009,1
5628,111160941,Other temporary crops,2019,1
5629,111160942,Total,1989,149
5630,111160942,Total,1999,67
5631,111160942,Total,2009,38
5632,111160942,Total,2019,33
5633,111160942,Cereals,1989,141
5634,111160942,Cereals,1999,57
5635,111160942,Cereals,2009,34
5636,111160942,Cereals,2019,29
5637,111160942,Dried pulses,1989,127
5638,111160942,Dried pulses,1999,19
5639,111160942,Dried pulses,2009,6
5640,111160942,Dried pulses,2019,6
5641,111160942,Potatoes,1989,147
5642,111160942,Potatoes,1999,62
5643,111160942,Potatoes,2009,
5644,111160942,Potatoes,2019,29
5645,111160942,Industrial crops,1989,
5646,111160942,Industrial crops,1999,
5647,111160942,Industrial crops,2009,
5648,111160942,Industrial crops,2019,
5649,111160942,Fresh vegetables,1989,4
5650,111160942,Fresh vegetables,1999,12
5651,111160942,Fresh vegetables,2009,
5652,111160942,Fresh vegetables,2019,5
5653,111160942,Other temporary crops,1989,72
5654,111160942,Other temporary crops,1999,52
5655,111160942,Other temporary crops,2009,
5656,111160942,Other temporary crops,2019,1
5657,111160943,Total,1989,542
5658,111160943,Total,1999,314
5659,111160943,Total,2009,139
5660,111160943,Total,2019,114
5661,111160943,Cereals,1989,501
