primary_key,codes,age,year,No
52034,16E0613,25 - 34 years,1999,215
52035,16E0613,25 - 34 years,2009,189
52036,16E0613,25 - 34 years,2019,108
52037,16E0613,35 - 44 years,1989,596
52038,16E0613,35 - 44 years,1999,270
52039,16E0613,35 - 44 years,2009,165
52040,16E0613,35 - 44 years,2019,163
52041,16E0613,45 - 54 years,1989,748
52042,16E0613,45 - 54 years,1999,450
52043,16E0613,45 - 54 years,2009,263
52044,16E0613,45 - 54 years,2019,241
52045,16E0613,55 - 64 years,1989,818
52046,16E0613,55 - 64 years,1999,516
52047,16E0613,55 - 64 years,2009,437
52048,16E0613,55 - 64 years,2019,386
52049,16E0613,65 and more years,1989,822
52050,16E0613,65 and more years,1999,616
52051,16E0613,65 and more years,2009,592
52052,16E0613,65 and more years,2019,677
52053,16E061301,Total,1989,755
52054,16E061301,Total,1999,396
52055,16E061301,Total,2009,309
52056,16E061301,Total,2019,174
52057,16E061301,16 - 24 years,1989,232
52058,16E061301,16 - 24 years,1999,91
52059,16E061301,16 - 24 years,2009,44
52060,16E061301,16 - 24 years,2019,25
52061,16E061301,25 - 34 years,1989,63
52062,16E061301,25 - 34 years,1999,36
52063,16E061301,25 - 34 years,2009,29
52064,16E061301,25 - 34 years,2019,13
52065,16E061301,35 - 44 years,1989,100
52066,16E061301,35 - 44 years,1999,41
52067,16E061301,35 - 44 years,2009,19
52068,16E061301,35 - 44 years,2019,13
52069,16E061301,45 - 54 years,1989,119
52070,16E061301,45 - 54 years,1999,68
52071,16E061301,45 - 54 years,2009,42
52072,16E061301,45 - 54 years,2019,25
52073,16E061301,55 - 64 years,1989,103
52074,16E061301,55 - 64 years,1999,82
52075,16E061301,55 - 64 years,2009,73
52076,16E061301,55 - 64 years,2019,33
52077,16E061301,65 and more years,1989,138
52078,16E061301,65 and more years,1999,78
52079,16E061301,65 and more years,2009,102
52080,16E061301,65 and more years,2019,65
52081,16E061302,Total,1989,832
52082,16E061302,Total,1999,443
52083,16E061302,Total,2009,317
52084,16E061302,Total,2019,283
52085,16E061302,16 - 24 years,1989,285
52086,16E061302,16 - 24 years,1999,79
52087,16E061302,16 - 24 years,2009,48
52088,16E061302,16 - 24 years,2019,25
52089,16E061302,25 - 34 years,1989,89
52090,16E061302,25 - 34 years,1999,25
52091,16E061302,25 - 34 years,2009,26
52092,16E061302,25 - 34 years,2019,20
52093,16E061302,35 - 44 years,1989,102
52094,16E061302,35 - 44 years,1999,44
52095,16E061302,35 - 44 years,2009,18
52096,16E061302,35 - 44 years,2019,43
52097,16E061302,45 - 54 years,1989,120
52098,16E061302,45 - 54 years,1999,82
52099,16E061302,45 - 54 years,2009,39
52100,16E061302,45 - 54 years,2019,38
52101,16E061302,55 - 64 years,1989,129
52102,16E061302,55 - 64 years,1999,105
52103,16E061302,55 - 64 years,2009,72
52104,16E061302,55 - 64 years,2019,65
52105,16E061302,65 and more years,1989,107
52106,16E061302,65 and more years,1999,108
52107,16E061302,65 and more years,2009,114
52108,16E061302,65 and more years,2019,92
52109,16E061304,Total,1989,511
52110,16E061304,Total,1999,222
52111,16E061304,Total,2009,189
52112,16E061304,Total,2019,288
52113,16E061304,16 - 24 years,1989,142
52114,16E061304,16 - 24 years,1999,38
52115,16E061304,16 - 24 years,2009,16
52116,16E061304,16 - 24 years,2019,34
52117,16E061304,25 - 34 years,1989,36
52118,16E061304,25 - 34 years,1999,14
52119,16E061304,25 - 34 years,2009,25
52120,16E061304,25 - 34 years,2019,25
52121,16E061304,35 - 44 years,1989,58
52122,16E061304,35 - 44 years,1999,23
52123,16E061304,35 - 44 years,2009,24
52124,16E061304,35 - 44 years,2019,22
52125,16E061304,45 - 54 years,1989,86
52126,16E061304,45 - 54 years,1999,44
52127,16E061304,45 - 54 years,2009,33
52128,16E061304,45 - 54 years,2019,36
52129,16E061304,55 - 64 years,1989,108
52130,16E061304,55 - 64 years,1999,45
52131,16E061304,55 - 64 years,2009,45
52132,16E061304,55 - 64 years,2019,70
52133,16E061304,65 and more years,1989,81
52134,16E061304,65 and more years,1999,58
52135,16E061304,65 and more years,2009,46
52136,16E061304,65 and more years,2019,101
52137,16E061307,Total,1989,847
