primary_key,codes,Livestock,year,No_und
698,111160131,Rabbits,1999,106
699,111160131,Rabbits,2009,67
700,111160131,Rabbits,2019,67
701,111160131,Inhabited hives and traditional cork hives,1989,
702,111160131,Inhabited hives and traditional cork hives,1999,
703,111160131,Inhabited hives and traditional cork hives,2009,
704,111160131,Inhabited hives and traditional cork hives,2019,
705,111160130,Cattle,1989,366
706,111160130,Cattle,1999,244
707,111160130,Cattle,2009,185
708,111160130,Cattle,2019,192
709,111160130,Pigs,1989,127
710,111160130,Pigs,1999,33
711,111160130,Pigs,2009,35
712,111160130,Pigs,2019,7
713,111160130,Sheep,1989,513
714,111160130,Sheep,1999,683
715,111160130,Sheep,2009,856
716,111160130,Sheep,2019,279
717,111160130,Goats,1989,200
718,111160130,Goats,1999,225
719,111160130,Goats,2009,224
720,111160130,Goats,2019,54
721,111160130,Equidae,1989,31
722,111160130,Equidae,1999,138
723,111160130,Equidae,2009,57
724,111160130,Equidae,2019,23
725,111160130,Poultry,1989,2796
726,111160130,Poultry,1999,1800
727,111160130,Poultry,2009,1170
728,111160130,Poultry,2019,794
729,111160130,Rabbits,1989,67
730,111160130,Rabbits,1999,321
731,111160130,Rabbits,2009,346
732,111160130,Rabbits,2019,125
733,111160130,Inhabited hives and traditional cork hives,1989,6
734,111160130,Inhabited hives and traditional cork hives,1999,1
735,111160130,Inhabited hives and traditional cork hives,2009,22
736,111160130,Inhabited hives and traditional cork hives,2019,22
737,111160133,Cattle,1989,247
738,111160133,Cattle,1999,121
739,111160133,Cattle,2009,47
740,111160133,Cattle,2019,27
741,111160133,Pigs,1989,67
742,111160133,Pigs,1999,10
743,111160133,Pigs,2009,2
744,111160133,Pigs,2019,9
745,111160133,Sheep,1989,199
746,111160133,Sheep,1999,192
747,111160133,Sheep,2009,168
748,111160133,Sheep,2019,171
749,111160133,Goats,1989,58
750,111160133,Goats,1999,42
751,111160133,Goats,2009,11
752,111160133,Goats,2019,1
753,111160133,Equidae,1989,5
754,111160133,Equidae,1999,1
755,111160133,Equidae,2009,7
756,111160133,Equidae,2019,1
757,111160133,Poultry,1989,2177
758,111160133,Poultry,1999,1096
759,111160133,Poultry,2009,571
760,111160133,Poultry,2019,488
761,111160133,Rabbits,1989,136
762,111160133,Rabbits,1999,169
763,111160133,Rabbits,2009,144
764,111160133,Rabbits,2019,76
765,111160133,Inhabited hives and traditional cork hives,1989,12
766,111160133,Inhabited hives and traditional cork hives,1999,7
767,111160133,Inhabited hives and traditional cork hives,2009,13
768,111160133,Inhabited hives and traditional cork hives,2019,26
769,111160144,Cattle,1989,212
770,111160144,Cattle,1999,172
771,111160144,Cattle,2009,123
772,111160144,Cattle,2019,156
773,111160144,Pigs,1989,84
774,111160144,Pigs,1999,34
775,111160144,Pigs,2009,4
776,111160144,Pigs,2019,3
777,111160144,Sheep,1989,557
778,111160144,Sheep,1999,405
779,111160144,Sheep,2009,286
780,111160144,Sheep,2019,117
781,111160144,Goats,1989,237
782,111160144,Goats,1999,201
783,111160144,Goats,2009,160
784,111160144,Goats,2019,118
785,111160144,Equidae,1989,2
786,111160144,Equidae,1999,6
787,111160144,Equidae,2009,44
788,111160144,Equidae,2019,13
789,111160144,Poultry,1989,1203
790,111160144,Poultry,1999,773
791,111160144,Poultry,2009,423
792,111160144,Poultry,2019,338
793,111160144,Rabbits,1989,10
794,111160144,Rabbits,1999,75
795,111160144,Rabbits,2009,155
796,111160144,Rabbits,2019,86
797,111160144,Inhabited hives and traditional cork hives,1989,
798,111160144,Inhabited hives and traditional cork hives,1999,1
799,111160144,Inhabited hives and traditional cork hives,2009,15
800,111160144,Inhabited hives and traditional cork hives,2019,
801,111160145,Cattle,1989,752
