
Statistical table extracted on October 11, 2022 (17:22:02)
http://www.ine.pt



Data reference period;Geographic localization (NUTS -2013);Familiar agricultural population (No.) by Geographic localization (NUTS -2013), Sex, Age group, Relationship and Level of education -  Decennial (1) ;;;
;;Sex;;;
;;MF;M;F;
;;Age group;;;
;;Total;;;
;;Relationship;;;
;;Total;;;
;;Level of education;;;
;;Total;;;
;;No. ;No. ;No. ;
;112031369: União das freguesias do Vade;1185;548;637;
;112031355: Valdreu;403;183;220;
;112031342: Vila de Prado;639;324;315;
;112031370: Vila Verde e Barbudo;842;426;416;
;119: Ave;68874;34927;33947;
;1190304: Cabeceiras de Basto;8612;4369;4243;
;119030401: Abadim;437;224;213;
;119030404: Basto;381;188;193;
;119030405: Bucos;508;251;257;
;119030406: Cabeceiras de Basto;578;287;291;
;119030407: Cavez;1185;606;579;
;119030408: Faia;392;197;195;
;119030413: Pedraça;424;219;205;
;119030415: Rio Douro;985;505;480;
;119030418: União das freguesias de Alvite e Passos;726;352;374;
;119030419: União das freguesias de Arco de Baúlhe e Vila Nune;668;360;308;
;119030420: União das freguesias de Gondiães e Vilar de Cunhas;470;237;233;
;119030421: União das freguesias de Refojos de Basto, Outeiro e Painzela;1858;943;915;
;1190307: Fafe;11104;5424;5680;
;119030705: Armil;241;125;116;
;119030726: Arões (Santa Cristina);248;132;116;
;119030730: Arões (São Romão);520;274;246;
;119030708: Estorãos;411;204;207;
;119030709: Fafe;357;180;177;
;119030712: Fornelos;214;110;104;
;119030714: Golães;390;194;196;
;119030716: Medelo;129;61;68;
;119030719: Paços;390;194;196;
;119030722: Quinchães;372;192;180;
;119030723: Regadas;392;203;189;
;119030724: Revelhe;367;173;194;
;119030725: Ribeiros;132;70;62;
;119030728: São Gens;667;329;338;
;119030729: Silvares (São Martinho);255;132;123;
;119030733: Travassós;579;269;310;
;119030737: União de freguesias de Aboim, Felgueiras, Gontim e Pedraído;762;374;388;
;119030738: União de freguesias de Agrela e Serafão;678;333;345;
;119030739: União de freguesias de Antime e Silvares (São Clemente);303;150;153;
;119030740: União de freguesias de Ardegão, Arnozela e Seidões;526;265;261;
;119030741: União de freguesias de Cepães e Fareja;483;242;241;
;119030742: União de freguesias de Freitas e Vila Cova;671;317;354;
;119030743: União de freguesias de Monte e Queimadela;720;298;422;
;119030744: União de freguesias de Moreira do Rei e Várzea Cova;1026;474;552;
;119030736: Vinhós;271;129;142;
;1190308: Guimarães;15998;8324;7674;
;119030801: Aldão;160;87;73;
;119030804: Azurém;132;68;64;
;119030806: Barco;210;116;94;
;119030807: Brito;364;183;181;
;119030808: Caldelas;237;131;106;
;119030857: Candoso (São Martinho);162;81;81;
;119030812: Costa;196;103;93;
;119030813: Creixomil;164;74;90;
;119030815: Fermentões;320;169;151;
;119030820: Gonça;322;169;153;
;119030821: Gondar;76;41;35;
;119030823: Guardizela;173;96;77;
;119030824: Infantas;438;209;229;
;119030827: Longos;419;209;210;
;119030828: Lordelo;221;124;97;
;119030830: Mesão Frio;290;153;137;
;119030831: Moreira de Cónegos;278;136;142;
;119030832: Nespereira;242;139;103;
;119030835: Pencelo;213;106;107;
;119030836: Pinheiro;234;121;113;
;119030837: Polvoreira;307;167;140;
;119030838: Ponte;559;314;245;
;119030842: Prazins (Santa Eufémia);198;103;95;
;119030840: Ronfe;293;158;135;
;119030858: Sande (São Martinho);275;142;133;
;119030865: São Torcato;592;316;276;
;119030850: Selho (São Cristóvão);125;64;61;
;119030854: Selho (São Jorge);230;123;107;
;119030866: Serzedelo;323;153;170;
;119030868: Silvares;327;163;164;
;119030875: União das freguesias de Abação e Gémeos;655;352;303;
;119030876: União das freguesias de Airão Santa Maria, Airão São João e Vermil;576;288;288;
;119030877: União das freguesias de Arosa e Castelões;342;168;174;
;119030878: União das freguesias de Atães e Rendufe;829;435;394;
;119030879: União das freguesias de Briteiros Santo Estêvão e Donim;409;215;194;
;119030880: União das freguesias de Briteiros São Salvador e Briteiros Santa Leocádia;488;255;233;
;119030881: União das freguesias de Candoso São Tiago e Mascotelos;208;102;106;
;119030882: União das freguesias de Conde e Gandarela;266;140;126;
;119030883: União das freguesias de Leitões, Oleiros e Figueiredo;528;251;277;
;119030884: União das freguesias de Oliveira, São Paio e São Sebastião;7;4;3;
;119030885: União das freguesias de Prazins Santo Tirso e Corvite;203;114;89;
;119030886: União das freguesias de Sande São Lourenço e Balazar;388;206;182;
;119030887: União das freguesias de Sande Vila Nova e Sande São Clemente;458;240;218;
;119030888: União das freguesias de Selho São Lourenço e Gominhães;406;201;205;
;119030889: União das freguesias de Serzedo e Calvos;466;236;230;
;119030890: União das freguesias de Souto Santa Maria, Souto São Salvador e Gondomar;815;446;369;
;119030891: União das freguesias de Tabuadelo e São Faustino;556;293;263;
;119030871: Urgezes;318;160;158;
;1191705: Mondim de Basto;4786;2475;2311;
;119170501: Atei;840;442;398;
;119170502: Bilhó;712;361;351;
;119170505: São Cristóvão de Mondim de Basto;887;483;404;
;119170509: União das freguesias de Campanhó e Paradança;568;298;270;
;119170510: União das freguesias de Ermelo e Pardelhas;780;393;387;
;119170508: Vilar de Ferreiros;999;498;501;
;1190309: Póvoa de Lanhoso;7878;3880;3998;
;119030906: Covelas;249;124;125;
;119030908: Ferreiros;255;119;136;
;119030912: Galegos;200;102;98;
;119030913: Garfe;785;374;411;
;119030914: Geraz do Minho;339;173;166;
;119030915: Lanhoso;303;149;154;
;119030917: Monsul;273;133;140;
;119030919: Póvoa de Lanhoso (Nossa Senhora do Amparo);291;144;147;
;119030921: Rendufinho;297;153;144;
;119030922: Santo Emilião;160;76;84;
;119030923: São João de Rei;138;73;65;
;119030924: Serzedelo;566;275;291;
;119030925: Sobradelo da Goma;502;263;239;
;119030926: Taíde;247;120;127;
;119030927: Travassos;185;84;101;
;119030930: União das freguesias de Águas Santas e Moure;355;175;180;
;119030931: União das freguesias de Calvos e Frades;407;199;208;
;119030932: União das freguesias de Campos e Louredo;539;245;294;
;119030933: União das freguesias de Esperança e Brunhais;372;200;172;
;119030934: União das freguesias de Fonte Arcada e Oliveira;626;310;316;
;119030935: União das freguesias de Verim, Friande e Ajude;499;251;248;
;119030929: Vilela;290;138;152;
;1190311: Vieira do Minho;7600;3834;3766;
;119031105: Cantelães;470;243;227;
;119031107: Eira Vedra;330;161;169;
;119031108: Guilhofrei;774;386;388;
;119031109: Louredo;278;149;129;
;119031110: Mosteiro;480;238;242;
;119031111: Parada de Bouro;198;102;96;
;119031112: Pinheiro;385;191;194;
;119031113: Rossas;1053;518;535;
;119031115: Salamonde;301;151;150;
;119031118: Tabuaças;380;204;176;
;119031122: União das freguesias de Anissó e Soutelo;296;153;143;
;119031123: União das freguesias de Anjos e Vilar do Chão;514;242;272;
;119031124: União das freguesias de Caniçada e Soengas;386;206;180;
;119031125: União das freguesias de Ruivães e Campos;903;455;448;
;119031126: União das freguesias de Ventosa e Cova;519;266;253;
;119031120: Vieira do Minho;333;169;164;
;1190312: Vila Nova de Famalicão;11003;5672;5331;
;119031204: Bairro;159;75;84;
;119031206: Brufe;141;74;67;
;119031210: Castelões;190;101;89;
;119031212: Cruz;259;134;125;
;119031213: Delães;106;61;45;
;119031215: Fradelos;725;368;357;
;119031216: Gavião;306;160;146;
;119031219: Joane;384;195;189;
