
Statistical table extracted on October 15, 2022 (13:03:14)
http://www.ine.pt



Geographic localization (NUTS -2013);Tractors by agricultural holding (No.) by Geographic localization (NUTS -2013) -  Decennial (1) ;
;Data reference period;
;2009;
;No. ;
11A011322: União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz;0,9;
11A011319: Vila de Cucujães;1,3;
11A1310: Paredes;0,7;
11A131001: Aguiar de Sousa;0,9;
11A131002: Astromil;0,7;
11A131003: Baltar;0,8;
11A131004: Beire;0,5;
11A131008: Cete;0,7;
11A131009: Cristelo;0,4;
11A131010: Duas Igrejas;0,4;
11A131011: Gandra;0,8;
11A131013: Lordelo;0,6;
11A131014: Louredo;0,7;
11A131017: Parada de Todeia;0,4;
11A131025: Paredes;0,6;
11A131018: Rebordosa;0,7;
11A131019: Recarei;0,7;
11A131020: Sobreira;0,7;
11A131021: Sobrosa;0,8;
11A131022: Vandoma;0,6;
11A131024: Vilela;0,7;
11A1312: Porto;1;
11A131202: Bonfim;0;
11A131203: Campanhã;0,8;
