
Statistical table extracted on October 11, 2022 (22:36:52)
http://www.ine.pt



Data reference period;Geographic localization (NUTS -2013);Familiar agricultural population (No.) by Geographic localization (NUTS -2013), Sex, Age group, Relationship and Level of education -  Decennial (1) ;;;;;
;;Sex;;;;;
;;MF;;;;;
;;Age group;;;;;
;;Total;;;;;
;;Relationship;;;;;
;;Total;;;;;
;;Level of education;;;;;
;;Total;None;Basic;Secondary / post-secondary;Superior;
;;No. ;No. ;No. ;No. ;No. ;
;119030725: Ribeiros;62;9;37;5;11;
;119030728: São Gens;232;60;129;23;20;
;119030729: Silvares (São Martinho);58;1;44;10;3;
;119030733: Travassós;109;16;72;8;13;
;119030737: União de freguesias de Aboim, Felgueiras, Gontim e Pedraído;142;33;95;8;6;
;119030738: União de freguesias de Agrela e Serafão;189;32;105;27;25;
;119030739: União de freguesias de Antime e Silvares (São Clemente);69;9;54;5;1;
;119030740: União de freguesias de Ardegão, Arnozela e Seidões;109;12;86;8;3;
;119030741: União de freguesias de Cepães e Fareja;97;16;63;8;10;
;119030742: União de freguesias de Freitas e Vila Cova;130;30;70;13;17;
;119030743: União de freguesias de Monte e Queimadela;218;59;128;16;15;
;119030744: União de freguesias de Moreira do Rei e Várzea Cova;141;32;84;15;10;
;119030736: Vinhós;48;3;37;3;5;
;1190308: Guimarães;3617;479;2215;517;406;
;119030801: Aldão;43;2;31;9;1;
;119030804: Azurém;29;4;19;4;2;
;119030806: Barco;56;7;36;7;6;
;119030807: Brito;90;11;59;9;11;
;119030808: Caldelas;43;7;29;4;3;
;119030857: Candoso (São Martinho);60;7;34;15;4;
;119030812: Costa;23;1;18;1;3;
;119030813: Creixomil;38;- -;22;8;8;
;119030815: Fermentões;73;8;41;12;12;
;119030820: Gonça;76;13;42;12;9;
;119030821: Gondar;25;2;18;4;1;
;119030823: Guardizela;61;14;40;5;2;
;119030824: Infantas;75;7;48;7;13;
;119030827: Longos;111;18;69;9;15;
;119030828: Lordelo;34;6;18;7;3;
;119030830: Mesão Frio;35;2;26;1;6;
;119030831: Moreira de Cónegos;26;2;11;8;5;
;119030832: Nespereira;29;5;12;8;4;
;119030835: Pencelo;52;6;25;9;12;
